program,coefficient,standard_error,z_score,p_value,n_genes,q_value,n_program_genes,trait,level
Splat_413,-0.12529292495552763,0.22412643113102151,-0.559027885837717,0.5761426889911279,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
LLC_265,-0.1623041155790696,0.29190220322784133,-0.5560222354758478,0.5781956543458664,18506,0.9870074201167115,58,AD_FinnGen_R11,cluster
Thex_459,-0.12274292706398753,0.2213068748924856,-0.5546277182921587,0.5791493257822347,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
CGE_283,-0.13796458256645774,0.25038208974580023,-0.5510161797376399,0.581622583239191,18506,0.9870074201167115,76,AD_FinnGen_R11,cluster
CA4_193,-0.12298620883348794,0.22424029949205446,-0.5484572091282179,0.5833780035336935,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
Splat_411,-0.122727450443491,0.22453621526769807,-0.5465819858821974,0.584665947866416,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
MSN_210,-0.15395906135847387,0.28570646735770266,-0.5388714605669676,0.58997555088473,18506,0.9870074201167115,58,AD_FinnGen_R11,cluster
Splat_357,-0.11866785630825202,0.22042026938661882,-0.538370888659553,0.5903210200921911,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
DLCT6b_84,-0.11886422876163599,0.22145035351727005,-0.5367533935879052,0.5914379689598566,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
Splat_368,-0.1178627975555638,0.22024756406739407,-0.5351378030201446,0.5925545711263271,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
EMSN_224,-0.11742617214703616,0.2194805167862,-0.535019028816341,0.5926366990794465,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
Midi_437,-0.12612322732152478,0.23636906607391947,-0.5335860119787519,0.5936279881347366,18506,0.9870074201167115,86,AD_FinnGen_R11,cluster
Splat_358,-0.11735817993989847,0.2205295438196097,-0.5321653412383419,0.5946114852800558,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
Splat_392,-0.11668799497832731,0.22032842033914093,-0.5296093658671682,0.5963827993110862,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
Mmb_330,-0.11714647060658977,0.22126646236272296,-0.5294361800504186,0.5965029055368913,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
MGE_250,-0.11719782875436999,0.22215918096036422,-0.5275398849047767,0.597818726527644,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
Amex_419,-0.11993119601016783,0.22741236909994295,-0.5273732316532905,0.5979344286238364,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
Mmb_329,-0.15170546021041192,0.28876784147290435,-0.5253544142471513,0.5993368369406207,18506,0.9870074201167115,59,AD_FinnGen_R11,cluster
DLCT6b_99,-0.11413907103041707,0.2180143051649776,-0.5235393656578856,0.6005989640958449,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
Thex_460,-0.13804853333460207,0.26606968388720914,-0.5188435274464522,0.60386986137865,18506,0.9870074201167115,66,AD_FinnGen_R11,cluster
Astro_62,-0.11317178629461691,0.21897626782997062,-0.5168221534513131,0.6052803138763123,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
Splat_397,-0.11441037519525143,0.2224378607934813,-0.5143475790817545,0.6070090023135292,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
Thex_455,-0.11330796123200799,0.22137104949687134,-0.5111779279286317,0.6092264726400622,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
Misc_166,-0.1379680149742788,0.270206223130524,-0.5106026551713907,0.6096293162737472,18506,0.9870074201167115,68,AD_FinnGen_R11,cluster
Splat_394,-0.11195090853481891,0.2193682235552012,-0.5103332958642841,0.6098179799747953,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
Splat_432,-0.11812444468156938,0.23241948448880356,-0.5082381321917949,0.6112863518487577,18506,0.9870074201167115,95,AD_FinnGen_R11,cluster
Midi_439,-0.11316998737385561,0.22381594462354418,-0.5056386289377471,0.6131103585178512,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
Splat_382,-0.11201942235314576,0.22159127990414812,-0.505522701081022,0.6131917581550004,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
DLCT6b_111,-0.11289130647164658,0.22423235801495012,-0.5034568046796258,0.6146431424457847,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
LRL_321,-0.13185174047471557,0.26193201490861756,-0.5033815378418549,0.6146960492975015,18506,0.9870074201167115,74,AD_FinnGen_R11,cluster
Splat_359,-0.11132431110778793,0.2213624955668446,-0.5029050238285349,0.6150310488484201,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
Splat_431,-0.11512394467015999,0.22953710052702173,-0.5015483092094182,0.6159852877992507,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
Mgl_11,0.13320076902478092,0.26607436175777005,0.5006148211530611,0.6166422295933511,18506,0.9870074201167115,70,AD_FinnGen_R11,cluster
MGE_245,-0.1113454881430393,0.22294377515508906,-0.4994330434459661,0.617474345508736,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
Amex_154,-0.11081608481197497,0.22236659292958297,-0.49834862041110284,0.61823834409513,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
CA13_169,-0.11167286345628233,0.22440038274105492,-0.4976500578661952,0.6187307146915023,18506,0.9870074201167115,97,AD_FinnGen_R11,cluster
Amex_157,-0.11034859184699192,0.2224705543972517,-0.49601436983857816,0.6198842725620108,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
CA13_186,-0.11012537398501965,0.2230019610941518,-0.4938314149556942,0.6214252448493176,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
Misc_165,-0.11134762777359632,0.22552115776424753,-0.493734729270925,0.6214935348354471,18506,0.9870074201167115,98,AD_FinnGen_R11,cluster
Splat_390,-0.10753263536020313,0.21846698199537445,-0.49221458720238054,0.6225676533774245,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
Splat_414,-0.1087858343423304,0.22101634030415557,-0.4922072014780117,0.6225728740271508,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
DLCT6b_108,-0.10675446185649627,0.21814078777620097,-0.48938331499022447,0.6245703463160186,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
Splat_364,-0.10997674498390482,0.22493413322091083,-0.4889286628450258,0.6248922023868333,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
MGE_249,-0.11075074840269714,0.22770655917561936,-0.48637487125283474,0.6267014036756859,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
Splat_366,-0.1064126357569793,0.21922035490321237,-0.48541402920345317,0.6273826826964556,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
EMSN_225,-0.10744844066416818,0.222848659206221,-0.48216058305846277,0.6296918754765705,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
ULIT_129,-0.10408023547975884,0.2178211702182309,-0.47782424167257403,0.632775305682045,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
Splat_398,-0.10625705718672543,0.22269686400183425,-0.477137644766521,0.6332641098728353,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
DLCT6b_103,-0.1141453461085427,0.2394921703887315,-0.47661410359790796,0.6336369385513341,18506,0.9870074201167115,87,AD_FinnGen_R11,cluster
L5ET_117,-0.10425666882405553,0.2211150032946371,-0.471504272756801,0.6372806691521278,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
Splat_415,-0.10466613289246135,0.222755013098666,-0.46987039418677584,0.6384476173427294,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
CGE_282,-0.10472562387903182,0.22326273251953846,-0.4690689874534566,0.6390203255392166,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
ULIT_133,-0.103974898098175,0.22196180433415183,-0.46843599244510675,0.6394728341183276,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
MSN_216,-0.1026339731700489,0.21926710951482817,-0.46807737556784895,0.6397292578060203,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
MGE_241,-0.10500686352113667,0.2244475820793348,-0.467845821943496,0.6398948496686496,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
Splat_375,-0.10404550123462974,0.2226049995082748,-0.4674001436018742,0.6402136198787117,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
CGE_293,-0.10318107496156716,0.22176824020086444,-0.46526533676829424,0.6417414546531519,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
MGE_246,-0.10263030150818822,0.22187621091116874,-0.4625565809273609,0.6436822369716464,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
Tcell_1,-0.09972020823814469,0.21618763578439967,-0.46126693543933284,0.644607104024717,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
MGE_258,-0.10163826721970105,0.22046163612426145,-0.4610247343098436,0.6447808595700436,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
Splat_381,-0.10144889055819764,0.22075821674310797,-0.4595474343286949,0.6458410971558506,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
Splat_355,-0.10054854321782322,0.2201599810185474,-0.4567067218694596,0.6478818587292532,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
CGE_295,-0.10191493385503833,0.22320943115624578,-0.4565888337563042,0.6479666066346992,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
Splat_389,-0.10229647146118874,0.22433409771448673,-0.4560005478587052,0.6483895842520772,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
Splat_399,-0.10192548743049784,0.22389874565438395,-0.45523027443768144,0.6489435824702146,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
Splat_376,-0.09910915236530718,0.21808639972060223,-0.4544490279645096,0.6495056712225518,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
CA4_191,-0.11582869488944164,0.2551657248163227,-0.45393516301148684,0.6498754939968281,18506,0.9870074201167115,74,AD_FinnGen_R11,cluster
CBI_299,-0.0999781329566752,0.22025416192224026,-0.4539216516234187,0.6498852191538766,18506,0.9870074201167115,100,AD_FinnGen_R11,cluster
